Date,Open,High,Low,Close,Volume,Adj Close
01-06-2000,45.4,52.7,45.2,50.47,463400,6.19
02-05-2000,49.4,55,42.4,46.06,883600,5.65
03-04-2000,51.99,54.6,37.01,49.03,879300,6.01
01-03-2000,43.6,59,43.6,51.44,641400,6.07
01-02-2000,47.2,52.4,41.9,43.36,1161500,5.11
03-01-2000,33.2,49.23,31.4,47.55,1377900,5.61
01-12-1999,24.6,38.32,22.59,31.48,2287200,3.71
01-11-1999,18.04,23.08,17.8,23.08,544900,2.72
01-10-1999,19.8,21.39,17.6,18.54,1012000,2.19
01-09-1999,17.58,21.38,16.8,20.47,869600,2.41
02-08-1999,16.98,18.99,15.32,17.21,611600,2.03
01-07-1999,14.92,18.18,14.62,17,763800,2
01-06-1999,15.85,16.1,14.4,14.85,246000,1.75
03-05-1999,13,17.07,12.61,16.22,894200,1.91
01-04-1999,14.1,14.1,11.7,12.96,757800,1.53
01-03-1999,10.2,14.09,10,13.91,1990300,1.49
01-02-1999,11.87,12,9.83,10.05,351500,1.08
01-01-1999,11.04,13.57,10.62,12.14,877800,1.3
01-12-1998,10.28,11.6,10.07,10.95,329500,1.17
02-11-1998,10.55,11.88,9.6,10.23,483100,1.09
05-10-1998,12.29,12.78,10.12,10.65,390500,1.14
01-09-1998,11.31,14.56,11.23,12.97,632900,1.39
03-08-1998,12.6,12.88,11.14,11.56,902900,1.24
01-07-1998,12.55,14.41,11.25,12.76,500600,1.37
01-06-1998,13.96,14.24,11.05,13.05,820700,1.4
04-05-1998,15.69,15.8,13.3,13.89,897500,1.37
01-04-1998,13.95,17.22,13.95,15.36,1328700,1.52
02-03-1998,14.35,15.38,13.6,14.06,800900,1.39
02-02-1998,14.65,14.67,12.3,14.19,1137700,1.4
01-01-1998,15.9,16.79,14,14.48,654600,1.43
01-12-1997,14.02,16.98,13.7,16.1,453800,1.59
03-11-1997,16.34,16.34,13.42,14.19,449000,1.4
01-10-1997,14,17.65,13.78,16.22,1721700,1.6
01-09-1997,13.8,14.98,13.22,14.54,558100,1.43
01-08-1997,14.83,15.5,12.53,13.72,782200,1.35
01-07-1997,12.6,15.18,12.45,14.81,2078400,1.46
02-06-1997,11.4,13.17,11.4,12.5,2264900,1.23
02-05-1997,11.65,13.15,10.78,11.32,1630900,1.05
01-04-1997,9,12.05,8.7,11.64,1253600,1.08
03-03-1997,10.45,11.36,9,9.04,1095900,0.84
03-02-1997,9.03,9.91,8.76,9.69,566300,0.9
01-01-1997,8.28,10.55,8.1,9.21,867100,0.85
02-12-1996,7.6,8.39,7.37,7.84,224100,0.72
01-11-1996,7.5,8,7.21,7.6,223200,0.7
